review,sentiment
"Wonderful experience, highly recommend.",1
"Awful film, waste of time.",0
"Brilliant, worth every minute.",1
Superb story and performances.,1
Superb story and performances.,1
Poor acting and weak story.,0
Really boring and disappointing.,0
Superb story and performances.,1
"Wonderful experience, highly recommend.",1
"Not good, very dull.",0
Unwatchable and awful.,0
"Wonderful experience, highly recommend.",1
Superb story and performances.,1
"Awesome film, truly inspiring.",1
"Really good, I will watch again.",1
"Wonderful experience, highly recommend.",1
Completely disappointing.,0
"Wonderful experience, highly recommend.",1
"Wonderful experience, highly recommend.",1
"Horrible, I regret watching it.",0
Superb story and performances.,1
"Really good, I will watch again.",1
"Bad direction, poor script.",0
Poor acting and weak story.,0
Unwatchable and awful.,0
"Excellent movie, so engaging.",1
"Wonderful experience, highly recommend.",1
"Great film, very enjoyable.",1
Unwatchable and awful.,0
"Great film, very enjoyable.",1
"Awful film, waste of time.",0
Really boring and disappointing.,0
"Amazing movie, I loved it!",1
"Really good, I will watch again.",1
Fantastic acting and direction.,1
"Excellent movie, so engaging.",1
Superb story and performances.,1
"Terrible movie, I hated it.",0
"Excellent movie, so engaging.",1
Loved the characters and plot.,1
Completely disappointing.,0
"Excellent movie, so engaging.",1
"Really good, I will watch again.",1
Fantastic acting and direction.,1
"Really good, I will watch again.",1
"Awful film, waste of time.",0
Poor acting and weak story.,0
"Bad direction, poor script.",0
Unwatchable and awful.,0
Worst movie I’ve seen.,0
"Excellent movie, so engaging.",1
"Not good, very dull.",0
"Wonderful experience, highly recommend.",1
"Great film, very enjoyable.",1
"Really good, I will watch again.",1
"Not good, very dull.",0
Loved the characters and plot.,1
"Bad direction, poor script.",0
Loved the characters and plot.,1
"Horrible, I regret watching it.",0
Superb story and performances.,1
"Excellent movie, so engaging.",1
"Amazing movie, I loved it!",1
"Terrible movie, I hated it.",0
"Bad direction, poor script.",0
Fantastic acting and direction.,1
"Amazing movie, I loved it!",1
"Horrible, I regret watching it.",0
"Horrible, I regret watching it.",0
Completely disappointing.,0
"Awesome film, truly inspiring.",1
"Not good, very dull.",0
"Awful film, waste of time.",0
Loved the characters and plot.,1
"Brilliant, worth every minute.",1
"Really good, I will watch again.",1
"Great film, very enjoyable.",1
Superb story and performances.,1
"Brilliant, worth every minute.",1
"Awful film, waste of time.",0
"Wonderful experience, highly recommend.",1
"Bad direction, poor script.",0
"Not good, very dull.",0
Loved the characters and plot.,1
"Horrible, I regret watching it.",0
Really boring and disappointing.,0
"Horrible, I regret watching it.",0
Loved the characters and plot.,1
"Wonderful experience, highly recommend.",1
"Brilliant, worth every minute.",1
"Horrible, I regret watching it.",0
"Not good, very dull.",0
"Really good, I will watch again.",1
"Awesome film, truly inspiring.",1
"Awesome film, truly inspiring.",1
Worst movie I’ve seen.,0
"Really good, I will watch again.",1
"Really good, I will watch again.",1
"Brilliant, worth every minute.",1
"Great film, very enjoyable.",1
Really boring and disappointing.,0
"Not good, very dull.",0
Really boring and disappointing.,0
Loved the characters and plot.,1
"Horrible, I regret watching it.",0
"Horrible, I regret watching it.",0
"Awful film, waste of time.",0
Completely disappointing.,0
"Awful film, waste of time.",0
"Great film, very enjoyable.",1
Really boring and disappointing.,0
"Not good, very dull.",0
Really boring and disappointing.,0
"Not good, very dull.",0
Poor acting and weak story.,0
"Awesome film, truly inspiring.",1
Worst movie I’ve seen.,0
"Horrible, I regret watching it.",0
Poor acting and weak story.,0
"Brilliant, worth every minute.",1
"Really good, I will watch again.",1
Completely disappointing.,0
"Amazing movie, I loved it!",1
"Great film, very enjoyable.",1
Worst movie I’ve seen.,0
"Horrible, I regret watching it.",0
"Wonderful experience, highly recommend.",1
"Great film, very enjoyable.",1
"Horrible, I regret watching it.",0
"Terrible movie, I hated it.",0
"Excellent movie, so engaging.",1
"Brilliant, worth every minute.",1
"Amazing movie, I loved it!",1
"Really good, I will watch again.",1
"Not good, very dull.",0
"Wonderful experience, highly recommend.",1
"Terrible movie, I hated it.",0
"Brilliant, worth every minute.",1
"Not good, very dull.",0
Superb story and performances.,1
Really boring and disappointing.,0
"Amazing movie, I loved it!",1
"Great film, very enjoyable.",1
Loved the characters and plot.,1
Superb story and performances.,1
Loved the characters and plot.,1
Completely disappointing.,0
Poor acting and weak story.,0
Loved the characters and plot.,1
Really boring and disappointing.,0
"Not good, very dull.",0
"Terrible movie, I hated it.",0
"Awful film, waste of time.",0
"Awful film, waste of time.",0
Completely disappointing.,0
"Awful film, waste of time.",0
Poor acting and weak story.,0
Unwatchable and awful.,0
"Wonderful experience, highly recommend.",1
Unwatchable and awful.,0
Really boring and disappointing.,0
"Really good, I will watch again.",1
"Not good, very dull.",0
Completely disappointing.,0
"Excellent movie, so engaging.",1
Worst movie I’ve seen.,0
"Great film, very enjoyable.",1
"Awesome film, truly inspiring.",1
Really boring and disappointing.,0
"Amazing movie, I loved it!",1
Unwatchable and awful.,0
"Wonderful experience, highly recommend.",1
Completely disappointing.,0
Worst movie I’ve seen.,0
Loved the characters and plot.,1
Worst movie I’ve seen.,0
"Bad direction, poor script.",0
Poor acting and weak story.,0
"Terrible movie, I hated it.",0
"Not good, very dull.",0
"Not good, very dull.",0
"Not good, very dull.",0
"Terrible movie, I hated it.",0
"Bad direction, poor script.",0
Unwatchable and awful.,0
"Brilliant, worth every minute.",1
Fantastic acting and direction.,1
"Awesome film, truly inspiring.",1
"Wonderful experience, highly recommend.",1
Poor acting and weak story.,0
"Bad direction, poor script.",0
"Brilliant, worth every minute.",1
Worst movie I’ve seen.,0
"Terrible movie, I hated it.",0
Superb story and performances.,1
Completely disappointing.,0
Really boring and disappointing.,0
Poor acting and weak story.,0
"Terrible movie, I hated it.",0
"Amazing movie, I loved it!",1
"Brilliant, worth every minute.",1
"Terrible movie, I hated it.",0
"Awful film, waste of time.",0
"Terrible movie, I hated it.",0
Loved the characters and plot.,1
Worst movie I’ve seen.,0
"Excellent movie, so engaging.",1
"Not good, very dull.",0
"Great film, very enjoyable.",1
Superb story and performances.,1
Fantastic acting and direction.,1
Really boring and disappointing.,0
Poor acting and weak story.,0
"Brilliant, worth every minute.",1
"Wonderful experience, highly recommend.",1
Superb story and performances.,1
"Excellent movie, so engaging.",1
"Brilliant, worth every minute.",1
"Bad direction, poor script.",0
Worst movie I’ve seen.,0
"Awful film, waste of time.",0
"Bad direction, poor script.",0
"Great film, very enjoyable.",1
"Terrible movie, I hated it.",0
"Bad direction, poor script.",0
"Awful film, waste of time.",0
Poor acting and weak story.,0
"Not good, very dull.",0
"Terrible movie, I hated it.",0
Loved the characters and plot.,1
"Wonderful experience, highly recommend.",1
"Wonderful experience, highly recommend.",1
Poor acting and weak story.,0
"Brilliant, worth every minute.",1
Completely disappointing.,0
"Horrible, I regret watching it.",0
Loved the characters and plot.,1
Fantastic acting and direction.,1
"Amazing movie, I loved it!",1
"Terrible movie, I hated it.",0
"Awesome film, truly inspiring.",1
"Not good, very dull.",0
"Bad direction, poor script.",0
Worst movie I’ve seen.,0
"Really good, I will watch again.",1
Unwatchable and awful.,0
"Excellent movie, so engaging.",1
"Brilliant, worth every minute.",1
Superb story and performances.,1
"Horrible, I regret watching it.",0
"Brilliant, worth every minute.",1
"Amazing movie, I loved it!",1
"Awful film, waste of time.",0
"Not good, very dull.",0
Really boring and disappointing.,0
"Excellent movie, so engaging.",1
"Horrible, I regret watching it.",0
"Awesome film, truly inspiring.",1
"Great film, very enjoyable.",1
"Horrible, I regret watching it.",0
Worst movie I’ve seen.,0
"Wonderful experience, highly recommend.",1
Really boring and disappointing.,0
"Horrible, I regret watching it.",0
"Amazing movie, I loved it!",1
"Bad direction, poor script.",0
Worst movie I’ve seen.,0
Fantastic acting and direction.,1
Loved the characters and plot.,1
"Not good, very dull.",0
"Horrible, I regret watching it.",0
Really boring and disappointing.,0
"Amazing movie, I loved it!",1
"Excellent movie, so engaging.",1
"Great film, very enjoyable.",1
Completely disappointing.,0
"Excellent movie, so engaging.",1
"Wonderful experience, highly recommend.",1
"Brilliant, worth every minute.",1
"Amazing movie, I loved it!",1
"Bad direction, poor script.",0
"Really good, I will watch again.",1
"Great film, very enjoyable.",1
"Bad direction, poor script.",0
"Great film, very enjoyable.",1
"Not good, very dull.",0
"Awesome film, truly inspiring.",1
"Terrible movie, I hated it.",0
"Excellent movie, so engaging.",1
"Really good, I will watch again.",1
"Terrible movie, I hated it.",0
Fantastic acting and direction.,1
"Amazing movie, I loved it!",1
"Not good, very dull.",0
"Great film, very enjoyable.",1
Completely disappointing.,0
Unwatchable and awful.,0
"Terrible movie, I hated it.",0
"Really good, I will watch again.",1
"Brilliant, worth every minute.",1
Loved the characters and plot.,1
"Bad direction, poor script.",0
"Awful film, waste of time.",0
"Not good, very dull.",0
Superb story and performances.,1
"Excellent movie, so engaging.",1
Really boring and disappointing.,0
Loved the characters and plot.,1
Completely disappointing.,0
Poor acting and weak story.,0
Superb story and performances.,1
Poor acting and weak story.,0
"Brilliant, worth every minute.",1
Poor acting and weak story.,0
"Really good, I will watch again.",1
"Bad direction, poor script.",0
"Terrible movie, I hated it.",0
"Awful film, waste of time.",0
Completely disappointing.,0
Poor acting and weak story.,0
"Excellent movie, so engaging.",1
"Bad direction, poor script.",0
"Brilliant, worth every minute.",1
"Really good, I will watch again.",1
"Excellent movie, so engaging.",1
"Horrible, I regret watching it.",0
Loved the characters and plot.,1
"Horrible, I regret watching it.",0
Worst movie I’ve seen.,0
"Brilliant, worth every minute.",1
Worst movie I’ve seen.,0
Fantastic acting and direction.,1
"Bad direction, poor script.",0
"Awful film, waste of time.",0
Really boring and disappointing.,0
"Great film, very enjoyable.",1
"Awesome film, truly inspiring.",1
Unwatchable and awful.,0
"Excellent movie, so engaging.",1
"Bad direction, poor script.",0
"Not good, very dull.",0
"Awful film, waste of time.",0
"Amazing movie, I loved it!",1
"Great film, very enjoyable.",1
Really boring and disappointing.,0
"Awful film, waste of time.",0
"Bad direction, poor script.",0
"Awesome film, truly inspiring.",1
"Brilliant, worth every minute.",1
"Bad direction, poor script.",0
"Awesome film, truly inspiring.",1
"Terrible movie, I hated it.",0
"Really good, I will watch again.",1
"Awesome film, truly inspiring.",1
Unwatchable and awful.,0
Loved the characters and plot.,1
"Wonderful experience, highly recommend.",1
Completely disappointing.,0
Completely disappointing.,0
Completely disappointing.,0
"Horrible, I regret watching it.",0
Loved the characters and plot.,1
"Bad direction, poor script.",0
"Excellent movie, so engaging.",1
"Awful film, waste of time.",0
"Bad direction, poor script.",0
"Brilliant, worth every minute.",1
"Awful film, waste of time.",0
"Awful film, waste of time.",0
"Great film, very enjoyable.",1
Really boring and disappointing.,0
Really boring and disappointing.,0
Superb story and performances.,1
Completely disappointing.,0
"Excellent movie, so engaging.",1
"Not good, very dull.",0
"Awful film, waste of time.",0
Completely disappointing.,0
Fantastic acting and direction.,1
"Awful film, waste of time.",0
Really boring and disappointing.,0
Loved the characters and plot.,1
Loved the characters and plot.,1
"Excellent movie, so engaging.",1
Really boring and disappointing.,0
Worst movie I’ve seen.,0
"Awesome film, truly inspiring.",1
"Brilliant, worth every minute.",1
"Excellent movie, so engaging.",1
Poor acting and weak story.,0
"Amazing movie, I loved it!",1
"Great film, very enjoyable.",1
"Not good, very dull.",0
Unwatchable and awful.,0
Really boring and disappointing.,0
"Horrible, I regret watching it.",0
Loved the characters and plot.,1
"Not good, very dull.",0
"Awesome film, truly inspiring.",1
"Awesome film, truly inspiring.",1
"Brilliant, worth every minute.",1
Unwatchable and awful.,0
"Horrible, I regret watching it.",0
"Brilliant, worth every minute.",1
Really boring and disappointing.,0
Unwatchable and awful.,0
"Awesome film, truly inspiring.",1
"Amazing movie, I loved it!",1
Completely disappointing.,0
Loved the characters and plot.,1
"Brilliant, worth every minute.",1
Superb story and performances.,1
"Bad direction, poor script.",0
"Excellent movie, so engaging.",1
Really boring and disappointing.,0
"Wonderful experience, highly recommend.",1
Loved the characters and plot.,1
Loved the characters and plot.,1
"Great film, very enjoyable.",1
"Wonderful experience, highly recommend.",1
"Bad direction, poor script.",0
Completely disappointing.,0
Loved the characters and plot.,1
"Awful film, waste of time.",0
"Bad direction, poor script.",0
Really boring and disappointing.,0
"Really good, I will watch again.",1
"Brilliant, worth every minute.",1
Superb story and performances.,1
Poor acting and weak story.,0
Fantastic acting and direction.,1
Superb story and performances.,1
Superb story and performances.,1
Worst movie I’ve seen.,0
"Brilliant, worth every minute.",1
"Awful film, waste of time.",0
"Brilliant, worth every minute.",1
Really boring and disappointing.,0
"Bad direction, poor script.",0
"Brilliant, worth every minute.",1
"Awesome film, truly inspiring.",1
"Great film, very enjoyable.",1
"Terrible movie, I hated it.",0
"Not good, very dull.",0
Loved the characters and plot.,1
"Wonderful experience, highly recommend.",1
Superb story and performances.,1
"Bad direction, poor script.",0
"Brilliant, worth every minute.",1
"Horrible, I regret watching it.",0
"Horrible, I regret watching it.",0
"Great film, very enjoyable.",1
"Awful film, waste of time.",0
"Terrible movie, I hated it.",0
Fantastic acting and direction.,1
"Terrible movie, I hated it.",0
Fantastic acting and direction.,1
"Really good, I will watch again.",1
"Terrible movie, I hated it.",0
Fantastic acting and direction.,1
"Amazing movie, I loved it!",1
"Wonderful experience, highly recommend.",1
"Amazing movie, I loved it!",1
Really boring and disappointing.,0
"Amazing movie, I loved it!",1
Fantastic acting and direction.,1
"Bad direction, poor script.",0
"Excellent movie, so engaging.",1
Worst movie I’ve seen.,0
"Terrible movie, I hated it.",0
Completely disappointing.,0
"Excellent movie, so engaging.",1
"Awesome film, truly inspiring.",1
"Really good, I will watch again.",1
Worst movie I’ve seen.,0
"Wonderful experience, highly recommend.",1
Superb story and performances.,1
"Great film, very enjoyable.",1
"Amazing movie, I loved it!",1
"Terrible movie, I hated it.",0
"Great film, very enjoyable.",1
"Awesome film, truly inspiring.",1
"Awesome film, truly inspiring.",1
"Bad direction, poor script.",0
"Bad direction, poor script.",0
"Great film, very enjoyable.",1
"Wonderful experience, highly recommend.",1
"Brilliant, worth every minute.",1
"Excellent movie, so engaging.",1
Really boring and disappointing.,0
"Excellent movie, so engaging.",1
Unwatchable and awful.,0
"Bad direction, poor script.",0
"Excellent movie, so engaging.",1
"Great film, very enjoyable.",1
Fantastic acting and direction.,1
Poor acting and weak story.,0
"Awesome film, truly inspiring.",1
"Brilliant, worth every minute.",1
"Not good, very dull.",0
"Horrible, I regret watching it.",0
Fantastic acting and direction.,1
"Great film, very enjoyable.",1
"Excellent movie, so engaging.",1
"Not good, very dull.",0
"Wonderful experience, highly recommend.",1
"Bad direction, poor script.",0
"Not good, very dull.",0
Worst movie I’ve seen.,0
Loved the characters and plot.,1
"Horrible, I regret watching it.",0
Completely disappointing.,0
"Not good, very dull.",0
"Terrible movie, I hated it.",0
Fantastic acting and direction.,1
"Horrible, I regret watching it.",0
Worst movie I’ve seen.,0
Really boring and disappointing.,0
"Really good, I will watch again.",1
"Bad direction, poor script.",0
"Wonderful experience, highly recommend.",1
"Horrible, I regret watching it.",0
"Terrible movie, I hated it.",0
Really boring and disappointing.,0
Loved the characters and plot.,1
Loved the characters and plot.,1
Completely disappointing.,0
"Wonderful experience, highly recommend.",1
Fantastic acting and direction.,1
"Awful film, waste of time.",0
Superb story and performances.,1
"Bad direction, poor script.",0
Superb story and performances.,1
"Amazing movie, I loved it!",1
Fantastic acting and direction.,1
"Horrible, I regret watching it.",0
"Great film, very enjoyable.",1
"Excellent movie, so engaging.",1
"Wonderful experience, highly recommend.",1
"Wonderful experience, highly recommend.",1
"Brilliant, worth every minute.",1
Poor acting and weak story.,0
Really boring and disappointing.,0
Superb story and performances.,1
Really boring and disappointing.,0
"Great film, very enjoyable.",1
"Really good, I will watch again.",1
"Awesome film, truly inspiring.",1
Fantastic acting and direction.,1
"Excellent movie, so engaging.",1
"Amazing movie, I loved it!",1
"Horrible, I regret watching it.",0
"Excellent movie, so engaging.",1
Fantastic acting and direction.,1
"Terrible movie, I hated it.",0
"Awesome film, truly inspiring.",1
"Horrible, I regret watching it.",0
Unwatchable and awful.,0
Fantastic acting and direction.,1
Unwatchable and awful.,0
"Brilliant, worth every minute.",1
Poor acting and weak story.,0
"Excellent movie, so engaging.",1
"Brilliant, worth every minute.",1
Fantastic acting and direction.,1
"Really good, I will watch again.",1
"Really good, I will watch again.",1
"Bad direction, poor script.",0
Really boring and disappointing.,0
Unwatchable and awful.,0
"Awesome film, truly inspiring.",1
"Great film, very enjoyable.",1
Completely disappointing.,0
"Bad direction, poor script.",0
"Awful film, waste of time.",0
"Really good, I will watch again.",1
"Brilliant, worth every minute.",1
"Really good, I will watch again.",1
"Terrible movie, I hated it.",0
Completely disappointing.,0
Fantastic acting and direction.,1
Superb story and performances.,1
Poor acting and weak story.,0
"Awesome film, truly inspiring.",1
Completely disappointing.,0
"Bad direction, poor script.",0
Fantastic acting and direction.,1
"Great film, very enjoyable.",1
"Horrible, I regret watching it.",0
"Awful film, waste of time.",0
"Bad direction, poor script.",0
Superb story and performances.,1
Fantastic acting and direction.,1
"Amazing movie, I loved it!",1
Poor acting and weak story.,0
"Not good, very dull.",0
"Wonderful experience, highly recommend.",1
Completely disappointing.,0
"Amazing movie, I loved it!",1
Unwatchable and awful.,0
Poor acting and weak story.,0
"Not good, very dull.",0
Really boring and disappointing.,0
"Horrible, I regret watching it.",0
Fantastic acting and direction.,1
"Bad direction, poor script.",0
"Bad direction, poor script.",0
"Amazing movie, I loved it!",1
Completely disappointing.,0
"Wonderful experience, highly recommend.",1
"Awful film, waste of time.",0
"Horrible, I regret watching it.",0
"Excellent movie, so engaging.",1
Fantastic acting and direction.,1
"Bad direction, poor script.",0
"Horrible, I regret watching it.",0
Really boring and disappointing.,0
Worst movie I’ve seen.,0
Unwatchable and awful.,0
Completely disappointing.,0
Really boring and disappointing.,0
"Awesome film, truly inspiring.",1
"Awesome film, truly inspiring.",1
Poor acting and weak story.,0
"Not good, very dull.",0
"Awesome film, truly inspiring.",1
Really boring and disappointing.,0
Unwatchable and awful.,0
Loved the characters and plot.,1
"Wonderful experience, highly recommend.",1
Loved the characters and plot.,1
Poor acting and weak story.,0
"Amazing movie, I loved it!",1
"Bad direction, poor script.",0
Worst movie I’ve seen.,0
"Not good, very dull.",0
"Really good, I will watch again.",1
Poor acting and weak story.,0
"Great film, very enjoyable.",1
Loved the characters and plot.,1
Worst movie I’ve seen.,0
"Great film, very enjoyable.",1
"Awful film, waste of time.",0
"Horrible, I regret watching it.",0
"Horrible, I regret watching it.",0
"Awesome film, truly inspiring.",1
"Excellent movie, so engaging.",1
